name,method,nRF_distance,b_corr,taxa_count,seq_len
JC_low_10_50_UPGMA,UPGMA,0.25,0.6161,10.0,50.0
JC_low_10_500_ML,ML,0.0,0.9173,10.0,500.0
JC_low_10_500_MP,MP,0.0,0.8944,10.0,500.0
JC_low_10_500_NJ,NJ,0.0,0.8944,10.0,500.0
JC_low_10_500_UPGMA,UPGMA,0.0,0.9224,10.0,500.0
JC_low_20_100_ML,ML,0.1111,0.7541,20.0,100.0
JC_low_20_100_NJ,NJ,0.1111,0.7779,20.0,100.0
JC_low_20_100_UPGMA,UPGMA,0.1111,0.7993,20.0,100.0
JC_low_20_1000_ML,ML,0.0,0.9051,20.0,1000.0
JC_low_20_1000_NJ,NJ,0.0,0.8907,20.0,1000.0
JC_low_20_1000_UPGMA,UPGMA,0.0,0.9126,20.0,1000.0
JC_low_20_2000_ML,ML,0.0,0.9696,20.0,2000.0
JC_low_20_2000_NJ,NJ,0.0,0.9402,20.0,2000.0
JC_low_20_2000_UPGMA,UPGMA,0.0,0.9467,20.0,2000.0
JC_low_20_250_ML,ML,0.0,0.7931,20.0,250.0
JC_low_20_250_NJ,NJ,0.0,0.817,20.0,250.0
JC_low_20_250_UPGMA,UPGMA,0.0556,0.8799,20.0,250.0
JC_low_20_50_ML,ML,0.1111,0.243,20.0,50.0
JC_low_20_50_NJ,NJ,0.0556,0.2932,20.0,50.0
JC_low_20_50_UPGMA,UPGMA,0.3889,0.4752,20.0,50.0
JC_low_20_500_ML,ML,0.0,0.8511,20.0,500.0
JC_low_20_500_NJ,NJ,0.0,0.797,20.0,500.0
JC_low_20_500_UPGMA,UPGMA,0.0,0.818,20.0,500.0
JC_low_35_100_ML,ML,0.0606,0.6239,35.0,100.0
JC_low_35_100_NJ,NJ,0.0909,0.7073,35.0,100.0
JC_low_35_100_UPGMA,UPGMA,0.2121,0.7139,35.0,100.0
JC_low_35_1000_ML,ML,0.0,0.9426,35.0,1000.0
JC_low_35_1000_NJ,NJ,0.0,0.9015,35.0,1000.0
JC_low_35_1000_UPGMA,UPGMA,0.0,0.9233,35.0,1000.0
JC_low_35_2000_ML,ML,0.0,0.9721,35.0,2000.0
JC_low_35_2000_NJ,NJ,0.0,0.9545,35.0,2000.0
JC_low_35_2000_UPGMA,UPGMA,0.0,0.9617,35.0,2000.0
JC_low_35_250_ML,ML,0.0,0.8334,35.0,250.0
JC_low_35_250_NJ,NJ,0.0,0.8787,35.0,250.0
JC_low_35_250_UPGMA,UPGMA,0.0,0.9106,35.0,250.0
JC_low_35_50_ML,ML,0.0303,0.6098,35.0,50.0
JC_low_35_50_NJ,NJ,0.2121,0.6262,35.0,50.0
JC_low_35_50_UPGMA,UPGMA,0.4242,0.6813,35.0,50.0
JC_low_35_500_ML,ML,0.0,0.9387,35.0,500.0
JC_low_35_500_NJ,NJ,0.0,0.9353,35.0,500.0
JC_low_35_500_UPGMA,UPGMA,0.0,0.944,35.0,500.0
JC_low_50_100_ML,ML,0.0417,0.6513,50.0,100.0
JC_low_50_100_MP,MP,0.0417,0.6044,50.0,100.0
JC_low_50_100_NJ,NJ,0.0417,0.6043,50.0,100.0
JC_low_50_100_UPGMA,UPGMA,0.0833,0.6373,50.0,100.0
JC_low_50_1000_ML,ML,0.0,0.9221,50.0,1000.0
JC_low_50_1000_MP,MP,0.0,0.8303,50.0,1000.0
JC_low_50_1000_NJ,NJ,0.0,0.8303,50.0,1000.0
JC_low_50_1000_UPGMA,UPGMA,0.0,0.8328,50.0,1000.0
JC_low_50_250_ML,ML,0.0,0.7286,50.0,250.0
JC_low_50_250_MP,MP,0.0,0.7536,50.0,250.0
JC_low_50_250_NJ,NJ,0.0,0.7536,50.0,250.0
JC_low_50_250_UPGMA,UPGMA,0.0,0.775,50.0,250.0
JC_low_50_50_ML,ML,0.0625,0.3365,50.0,50.0
JC_low_50_50_MP,MP,0.0625,0.5075,50.0,50.0
JC_low_50_50_NJ,NJ,0.0625,0.5075,50.0,50.0
JC_low_50_50_UPGMA,UPGMA,0.1042,0.5455,50.0,50.0
JC_low_50_500_ML,ML,0.0,0.8024,50.0,500.0
JC_low_50_500_MP,MP,0.0,0.8002,50.0,500.0
JC_low_50_500_NJ,NJ,0.0,0.8002,50.0,500.0
JC_low_50_500_UPGMA,UPGMA,0.0,0.8177,50.0,500.0
JC_low_75_100_ML,ML,0.0548,0.7119,75.0,100.0
JC_low_75_100_NJ,NJ,0.0274,0.7533,75.0,100.0
JC_low_75_100_UPGMA,UPGMA,0.1096,0.7635,75.0,100.0
JC_low_75_1000_ML,ML,0.0,0.9622,75.0,1000.0
JC_low_75_1000_NJ,NJ,0.0,0.8409,75.0,1000.0
JC_low_75_1000_UPGMA,UPGMA,0.0,0.8425,75.0,1000.0
JC_low_75_2000_ML,ML,0.0,0.9763,75.0,2000.0
JC_low_75_2000_NJ,NJ,0.0,0.8319,75.0,2000.0
JC_low_75_2000_UPGMA,UPGMA,0.0,0.8338,75.0,2000.0
JC_low_75_250_ML,ML,0.0,0.8173,75.0,250.0
JC_low_75_250_NJ,NJ,0.0,0.7725,75.0,250.0
JC_low_75_250_UPGMA,UPGMA,0.0,0.7776,75.0,250.0
JC_low_75_50_ML,ML,0.2466,0.5959,75.0,50.0
JC_low_75_50_NJ,NJ,0.1233,0.7438,75.0,50.0
JC_low_75_50_UPGMA,UPGMA,0.2055,0.7533,75.0,50.0
JC_low_75_500_ML,ML,0.0,0.9335,75.0,500.0
JC_low_75_500_NJ,NJ,0.0,0.8608,75.0,500.0
JC_low_75_500_UPGMA,UPGMA,0.0,0.8632,75.0,500.0
