name,method,nRF_distance,p_corr
HKY_low_35_100_NJ,NJ,0.0606,0.8842
HKY_low_35_100_UPGMA,UPGMA,0.0303,0.9495
HKY_low_35_1000_ML,ML,0.0,0.9896
HKY_low_35_1000_NJ,NJ,0.0,0.9725
HKY_low_35_1000_UPGMA,UPGMA,0.0,0.9835
HKY_low_35_2000_ML,ML,0.0,0.992
HKY_low_35_2000_NJ,NJ,0.0,0.981
HKY_low_35_2000_UPGMA,UPGMA,0.0,0.9855
HKY_low_35_250_ML,ML,0.0,0.9598
HKY_low_35_250_NJ,NJ,0.0,0.955
HKY_low_35_250_UPGMA,UPGMA,0.0,0.9818
HKY_low_35_50_ML,ML,0.2727,0.5642
HKY_low_35_50_NJ,NJ,0.1818,0.6572
HKY_low_35_50_UPGMA,UPGMA,0.3636,0.8269
HKY_low_35_500_ML,ML,0.0,0.9618
HKY_low_35_500_NJ,NJ,0.0,0.9636
HKY_low_35_500_UPGMA,UPGMA,0.0,0.9847
HKY_low_500_50_ML,ML,0.994,0.0008
HKY_low_500_50_NJ,NJ,0.988,0.0003
HKY_low_500_50_UPGMA,UPGMA,0.988,0.0024
HKY_low_50_100_ML,ML,0.0417,0.8665
HKY_low_50_100_MP,MP,0.0833,0.7999
HKY_low_50_100_NJ,NJ,0.0833,0.7999
HKY_low_50_100_UPGMA,UPGMA,0.0417,0.8087
HKY_low_50_1000_ML,ML,0.0,0.9872
HKY_low_50_1000_MP,MP,0.0,0.9333
HKY_low_50_1000_NJ,NJ,0.0,0.9333
HKY_low_50_1000_UPGMA,UPGMA,0.0,0.9381
HKY_low_50_250_ML,ML,0.0208,0.914
HKY_low_50_250_MP,MP,0.0,0.8944
HKY_low_50_250_NJ,NJ,0.0,0.8944
HKY_low_50_250_UPGMA,UPGMA,0.0,0.9226
HKY_low_50_50_ML,ML,0.2083,0.7621
HKY_low_50_50_MP,MP,0.1458,0.7817
HKY_low_50_50_NJ,NJ,0.1458,0.7817
HKY_low_50_50_UPGMA,UPGMA,0.1875,0.8119
HKY_low_50_500_ML,ML,0.0,0.9782
HKY_low_50_500_MP,MP,0.0,0.9421
HKY_low_50_500_NJ,NJ,0.0,0.9421
HKY_low_50_500_UPGMA,UPGMA,0.0,0.9511
HKY_low_75_100_ML,ML,0.5068,0.4583
HKY_low_75_100_NJ,NJ,0.2192,0.7837
HKY_low_75_100_UPGMA,UPGMA,0.2603,0.7959
HKY_low_75_1000_ML,ML,0.0,0.9795
HKY_low_75_1000_NJ,NJ,0.0,0.8298
HKY_low_75_1000_UPGMA,UPGMA,0.0,0.8372
HKY_low_75_2000_ML,ML,0.0,0.9811
HKY_low_75_2000_NJ,NJ,0.0,0.8382
HKY_low_75_2000_UPGMA,UPGMA,0.0,0.8418
HKY_low_75_250_ML,ML,0.0548,0.8784
HKY_low_75_250_NJ,NJ,0.0137,0.812
HKY_low_75_250_UPGMA,UPGMA,0.0274,0.8456
HKY_low_75_50_ML,ML,0.589,0.3776
HKY_low_75_50_NJ,NJ,0.3425,0.738
HKY_low_75_50_UPGMA,UPGMA,0.4247,0.7644
HKY_low_75_500_ML,ML,0.0274,0.9347
HKY_low_75_500_NJ,NJ,0.0,0.8312
HKY_low_75_500_UPGMA,UPGMA,0.0,0.841
JC_high_100_100_ML,ML,0.9898,0.0007
JC_high_100_100_MP,MP,0.9898,0.0063
JC_high_100_100_NJ,NJ,0.9898,0.0063
JC_high_100_100_UPGMA,UPGMA,0.9898,0.0061
JC_high_100_250_ML,ML,0.9898,-0.0107
JC_high_100_250_MP,MP,0.9898,0.0016
JC_high_100_250_NJ,NJ,0.9898,0.0016
JC_high_100_250_UPGMA,UPGMA,0.9898,0.0032
JC_high_100_50_ML,ML,0.9898,-0.0122
JC_high_100_50_MP,MP,0.9898,-0.0058
JC_high_100_50_NJ,NJ,0.9898,-0.0058
JC_high_100_50_UPGMA,UPGMA,0.9898,0.0002
JC_high_100_500_ML,ML,0.9898,0.0047
JC_high_100_500_MP,MP,0.9898,0.0018
JC_high_100_500_NJ,NJ,0.9898,0.0018
JC_high_100_500_UPGMA,UPGMA,0.9898,0.0218
JC_high_10_100_ML,ML,0.875,0.068
JC_high_10_100_MP,MP,0.875,0.1066
JC_high_10_100_NJ,NJ,0.875,0.1066
JC_high_10_100_UPGMA,UPGMA,0.875,0.0157
JC_high_10_1000_ML,ML,0.875,-0.1235
JC_high_10_1000_MP,MP,0.75,-0.0709
JC_high_10_1000_NJ,NJ,0.75,-0.0709
JC_high_10_1000_UPGMA,UPGMA,0.75,-0.0189
JC_high_10_250_ML,ML,0.875,0.0046
JC_high_10_250_MP,MP,0.875,0.1378
JC_high_10_250_NJ,NJ,0.875,0.1378
JC_high_10_250_UPGMA,UPGMA,0.875,0.1343
JC_high_10_50_ML,ML,0.75,0.1193
JC_high_10_50_MP,MP,0.75,0.0753
JC_high_10_50_NJ,NJ,0.75,0.0753
JC_high_10_50_UPGMA,UPGMA,0.875,-0.0317
JC_high_10_500_ML,ML,0.75,0.1735
JC_high_10_500_MP,MP,0.75,0.0375
JC_high_10_500_NJ,NJ,0.75,0.0375
JC_high_10_500_UPGMA,UPGMA,0.75,0.1227
JC_high_20_100_ML,ML,0.9444,0.0162
JC_high_20_100_NJ,NJ,0.9444,-0.0269
JC_high_20_100_UPGMA,UPGMA,0.9444,-0.0672
JC_high_20_1000_ML,ML,0.9444,-0.0545
JC_high_20_1000_NJ,NJ,0.8889,0.0088
JC_high_20_1000_UPGMA,UPGMA,0.9444,0.039
JC_high_20_2000_ML,ML,0.9444,-0.0792
JC_high_20_2000_NJ,NJ,0.8889,0.0036
JC_high_20_2000_UPGMA,UPGMA,0.8889,0.0225
JC_high_20_250_ML,ML,0.9444,-0.0342
JC_high_20_250_NJ,NJ,0.7778,0.0521
JC_high_20_250_UPGMA,UPGMA,0.8333,0.0643
JC_high_20_50_ML,ML,0.8889,0.0751
JC_high_20_50_NJ,NJ,0.8889,0.0703
JC_high_20_50_UPGMA,UPGMA,0.8889,0.1039
JC_high_20_500_ML,ML,0.8889,-0.0377
JC_high_20_500_NJ,NJ,0.8333,0.0123
JC_high_20_500_UPGMA,UPGMA,0.8889,-0.0442
JC_high_250_100_ML,ML,0.996,0.0082
JC_high_250_100_NJ,NJ,0.996,-0.0085
JC_high_250_100_UPGMA,UPGMA,0.996,-0.0124
JC_high_35_100_ML,ML,0.9697,0.0628
JC_high_35_100_NJ,NJ,0.9697,-0.01
JC_high_35_100_UPGMA,UPGMA,0.9697,-0.0718
JC_high_35_1000_ML,ML,0.9697,-0.0022
JC_high_35_1000_NJ,NJ,0.9697,-0.0258
JC_high_35_1000_UPGMA,UPGMA,0.9697,0.0014
JC_high_35_2000_ML,ML,0.9697,-0.0043
JC_high_35_2000_NJ,NJ,0.9394,0.0138
JC_high_35_2000_UPGMA,UPGMA,0.9394,0.0107
JC_high_35_250_ML,ML,0.9394,0.0505
JC_high_35_250_NJ,NJ,0.9394,-0.0113
JC_high_35_250_UPGMA,UPGMA,0.9394,-0.0325
JC_high_35_50_ML,ML,0.9697,-0.0779
JC_high_35_50_NJ,NJ,0.9697,0.0021
JC_high_35_50_UPGMA,UPGMA,0.9697,0.0209
JC_high_35_500_ML,ML,0.9697,0.0122
JC_high_35_500_NJ,NJ,0.9697,0.0275
JC_high_35_500_UPGMA,UPGMA,0.9697,0.0384
JC_high_50_100_ML,ML,0.9792,0.0011
JC_high_50_100_MP,MP,0.9792,0.001
JC_high_50_100_NJ,NJ,0.9792,0.001
JC_high_50_100_UPGMA,UPGMA,0.9792,0.0286
JC_high_50_1000_ML,ML,0.9792,0.0288
JC_high_50_1000_MP,MP,0.9583,0.0064
