name,method,nRF_distance,b_corr,taxa_count,seq_len,p_corr
HKY_low_20_500_UPGMA,UPGMA,0.0,0.8838,20.0,500.0,0.9904
HKY_low_250_100_ML,ML,0.7056,-0.0006,250.0,100.0,0.0341
HKY_low_250_100_NJ,NJ,0.5444,0.1126,250.0,100.0,0.1926
HKY_low_250_100_UPGMA,UPGMA,0.5444,0.1166,250.0,100.0,0.2357
HKY_low_250_250_ML,ML,0.5605,0.1164,250.0,250.0,0.0795
HKY_low_250_250_NJ,NJ,0.4073,0.1524,250.0,250.0,0.2718
HKY_low_250_250_UPGMA,UPGMA,0.4073,0.1532,250.0,250.0,0.3072
HKY_low_250_50_ML,ML,0.8911,0.0794,250.0,50.0,0.0181
HKY_low_250_50_NJ,NJ,0.7621,0.0908,250.0,50.0,0.0934
HKY_low_250_50_UPGMA,UPGMA,0.7621,0.0889,250.0,50.0,0.1167
HKY_low_35_100_ML,ML,0.0,0.7331,35.0,100.0,0.9188
HKY_low_35_100_NJ,NJ,0.0606,0.7209,35.0,100.0,0.8842
HKY_low_35_100_UPGMA,UPGMA,0.0303,0.7582,35.0,100.0,0.9495
HKY_low_35_1000_ML,ML,0.0,0.9647,35.0,1000.0,0.9896
HKY_low_35_1000_NJ,NJ,0.0,0.8998,35.0,1000.0,0.9725
HKY_low_35_1000_UPGMA,UPGMA,0.0,0.9081,35.0,1000.0,0.9835
HKY_low_35_2000_ML,ML,0.0,0.9785,35.0,2000.0,0.992
HKY_low_35_2000_NJ,NJ,0.0,0.926,35.0,2000.0,0.981
HKY_low_35_2000_UPGMA,UPGMA,0.0,0.9291,35.0,2000.0,0.9855
HKY_low_35_250_ML,ML,0.0,0.8713,35.0,250.0,0.9598
HKY_low_35_250_NJ,NJ,0.0,0.8478,35.0,250.0,0.955
HKY_low_35_250_UPGMA,UPGMA,0.0,0.8562,35.0,250.0,0.9818
HKY_low_35_50_ML,ML,0.2727,0.4461,35.0,50.0,0.5642
HKY_low_35_50_NJ,NJ,0.1818,0.5576,35.0,50.0,0.6572
HKY_low_35_50_UPGMA,UPGMA,0.3636,0.5702,35.0,50.0,0.8269
HKY_low_35_500_ML,ML,0.0,0.9142,35.0,500.0,0.9618
HKY_low_35_500_NJ,NJ,0.0,0.9007,35.0,500.0,0.9636
HKY_low_35_500_UPGMA,UPGMA,0.0,0.904,35.0,500.0,0.9847
HKY_low_500_50_ML,ML,0.994,-0.0599,500.0,50.0,0.0008
HKY_low_500_50_NJ,NJ,0.988,0.0622,500.0,50.0,0.0003
HKY_low_500_50_UPGMA,UPGMA,0.988,0.0621,500.0,50.0,0.0024
HKY_low_50_100_ML,ML,0.0417,0.4913,50.0,100.0,0.8665
HKY_low_50_100_MP,MP,0.0833,0.573,50.0,100.0,0.7999
HKY_low_50_100_NJ,NJ,0.0833,0.573,50.0,100.0,0.7999
HKY_low_50_100_UPGMA,UPGMA,0.0417,0.6643,50.0,100.0,0.8087
HKY_low_50_1000_ML,ML,0.0,0.9335,50.0,1000.0,0.9872
HKY_low_50_1000_MP,MP,0.0,0.6557,50.0,1000.0,0.9333
HKY_low_50_1000_NJ,NJ,0.0,0.6557,50.0,1000.0,0.9333
HKY_low_50_1000_UPGMA,UPGMA,0.0,0.658,50.0,1000.0,0.9381
