msa_file,tree,seq_len,execution_time_seconds,cpu_time_seconds,peak_ram_mb
BB12020,UPGMA,141,0.018099500000062108,0.0,0.01953125
BB12020,NJ,141,0.012637100000119972,0.0,0.01953125
BB12020,ML,141,0.08708580000006805,0.15625,0.01953125
BB12020,MP,141,0.01972569999998086,0.03125,0.01953125
BB12021,UPGMA,88,0.02346750000015163,0.03125,0.01953125
BB12021,NJ,88,0.01765890000001491,0.015625,0.01953125
BB12021,ML,88,0.15324570000007043,0.265625,0.01953125
BB12021,MP,88,0.050613500000054046,0.078125,0.015625
BB20001,UPGMA,780,0.5388468000001012,0.53125,0.01953125
BB20001,NJ,780,0.5388597999999547,0.53125,0.01953125
BB20001,ML,780,5.257378300000028,5.484375,0.09375
BB20001,MP,780,11.145696000000044,11.125,0.10546875
BB20004,UPGMA,903,12.682412999999997,12.6875,0.02734375
BB20004,NJ,903,12.73021689999996,12.734375,0.01953125
BB20004,ML,903,34.1404857,34.328125,0.0234375
BB20004,MP,903,422.35571260000006,421.671875,3.203125
BB20007,UPGMA,515,1.3600768999999673,1.34375,0.0234375
BB20007,NJ,515,1.3698567000001276,1.359375,0.01953125
BB20007,ML,515,6.289015900000322,6.5,1.234375
BB20007,MP,515,18.959905400000025,18.890625,0.01953125
BB20014,UPGMA,929,11.884739400000399,11.890625,0.05078125
BB20014,NJ,929,11.56482479999977,11.53125,0.01953125
BB20014,ML,929,67.99484429999984,68.171875,0.125
BB20014,MP,929,1012.4965493,1011.21875,3.04296875
BB30001,UPGMA,949,46.44127750000007,46.390625,0.87890625
BB30001,NJ,949,47.04992149999998,47.046875,0.02734375
BB30001,ML,949,101.13929110000026,101.3125,5.8359375
BB30001,MP,949,2175.9895981,2175.09375,14.68359375
BB30002,UPGMA,1019,3.435813600000074,3.4375,0.01953125
BB30002,NJ,1019,3.4532466999999087,3.453125,0.01953125
BB30002,ML,1019,17.012578900000335,17.203125,0.07421875
BB30002,MP,1019,56.4573735999993,56.390625,0.03515625
BB30003,UPGMA,709,55.89829959999952,55.875,0.01953125
BB30003,NJ,709,56.60467040000003,56.59375,0.01953125
BB30003,ML,709,142.36697650000042,142.5625,1.6328125
BB30003,MP,709,4960.584143100001,4958.765624999999,19.9765625
BB40008,UPGMA,805,0.42236400000001595,0.40625,0.01953125
BB40008,NJ,805,0.4225385000008828,0.421875,0.01953125
BB40008,ML,805,3.4379583000009006,3.59375,0.5
BB40008,MP,805,5.0977043000002595,5.078125,0.01953125
BB40011,UPGMA,2013,7.116443100001561,7.078125,0.01953125
BB40011,NJ,2013,7.059161199998925,7.046875,0.01953125
BB40011,ML,2013,77.63124020000032,77.82812500000091,0.05078125
BB40011,MP,2013,488.2507280000009,487.390625,0.01953125
BB40049,UPGMA,3569,34.22620090000055,34.171875,0.03515625
BB40049,NJ,3569,34.599856299999374,34.578125,0.01953125
BB40049,ML,3569,214.4928607999991,214.6875,0.72265625
BB50002,UPGMA,1277,0.5468412999998691,0.546875,0.16015625
BB50002,NJ,1277,0.5447211999999126,0.546875,0.03125
BB50002,ML,1277,5.0790952000006655,5.28125,6.55859375
BB50002,MP,1277,17.160269400001198,17.078125,0.76171875
BB50005,UPGMA,958,0.48651990000143996,0.484375,0.01953125
BB50005,NJ,958,0.48776899999938905,0.484375,0.01953125
BB50005,ML,958,2.8563104000004387,3.046875,0.22265625
BB50005,MP,958,2.050838900000599,2.046875,0.01953125
BB50013,UPGMA,386,0.5662731000011263,0.5625,0.0234375
BB50013,NJ,386,0.5668353000000934,0.5625,0.01953125
BB50013,ML,386,3.5363982999988366,3.71875,0.96484375
BB50013,MP,386,5.30636819999927,5.296875,0.0234375
BBS50012,UPGMA,760,5.866382399999566,5.828125,0.43359375
BBS50012,NJ,760,6.00180200000068,5.984375,0.0234375
BBS50012,ML,760,22.89067740000064,23.09375,4.9921875
